id,pcf_pointer,team_id,team_name,short_name,full_name,shirt_number,shirt_number_reliable,position_original,position_normalized,role_primary,overall,overall_derived,attr_velocidad,attr_resistencia,attr_agresividad,attr_calidad,attr_remate,attr_regate,attr_pase,attr_tiro,attr_entradas,attr_portero,birth_date,age,nationality,birth_country,birth_place,height,weight,preferred_foot,market_value,salary,slot,skin,hair,source_file,source_offset,data_confidence
river-2025-25631,25631,river-2025,River,Saccone,Alejandro SACCONE,32,True,Portero,GK,Portero,66,66,72,64,66,65,21,13,15,19,15,75,1974-03-25,24,Argentina,Argentina,Rosario,,,,,,26,blanco,moreno,EQ003003.PKF,630244,original
river-2025-25632,25632,river-2025,River,Costanzo,Franco COSTANZO,17,True,Portero,GK,Portero,69,69,67,70,70,70,9,4,12,9,25,78,1980-09-05,17,Argentina,Argentina,Río Cuarto (Córdoba),,,,,,27,blanco,moreno,EQ003003.PKF,630533,original
river-2025-8787,8787,river-2025,River,Burgos,Germán Adrián Ramón BURGOS,1,True,Portero,GK,Portero,83,83,80,85,90,80,19,22,18,23,22,85,1969-04-16,29,Argentina,Argentina,Mar del Plata (BA),188,75,,,,1,blanco,moreno,EQ003003.PKF,630919,original
river-2025-8789,8789,river-2025,River,Bonano,Roberto Oscar BONANO,12,True,Portero,GK,Portero,81,81,80,83,83,80,19,19,22,16,21,90,1970-02-24,28,Argentina,Argentina,Rosario (SF),188,75,,,,12,blanco,moreno,EQ003003.PKF,635581,original
river-2025-17489,17489,river-2025,River,Biscay,Matías BISCAY,26,True,Defensa,DF,Central izquierdo,80,80,78,79,88,77,67,62,68,67,90,12,1974-03-05,24,Argentina,Argentina,San Fernando (BA),183,73,,,,24,blanco,moreno,EQ003003.PKF,639709,original
river-2025-25633,25633,river-2025,River,Villalba,Héctor VILLALBA,13,True,Defensa,DF,Central izquierdo,73,73,73,75,75,72,44,43,59,44,56,17,1978-02-26,20,Argentina,Argentina,San Miguel (Tucumán),,,,,,23,blanco,castano,EQ003003.PKF,640776,original
river-2025-25634,25634,river-2025,River,Acosta,Norberto ACOSTA,30,True,Defensa,DF,Lateral izquierdo,72,72,72,73,70,76,52,45,66,58,73,8,1976-05-22,22,Argentina,Argentina,Salta,,,,,,25,blanco,castano,EQ003003.PKF,641261,original
river-2025-8865,8865,river-2025,River,Martínez,Jorge Daniel MARTÍNEZ,25,True,Defensa,DF,Lateral derecho,84,84,94,88,76,80,79,73,79,80,82,15,1973-06-20,25,Argentina,Argentina,Montecarlo (Misiones),166,60,,,,2,mulato,castano,EQ003003.PKF,641682,original
river-2025-20722,20722,river-2025,River,Sarabia,Pedro Alcides SARABIA Achucarro,2,True,Defensa,DF,Central derecho,79,79,80,82,77,77,61,64,69,68,90,18,1975-07-05,22,Paraguay,Paraguay,Asunción (Paraguay),190,80,,,,4,blanco,moreno,EQ003003.PKF,645838,original
river-2025-17351,17351,river-2025,River,Placente,Diego PLACENTE,14,True,Defensa,DF,Lateral izquierdo,82,82,81,84,82,83,65,61,68,64,90,10,1974-07-27,23,Argentina,Argentina,Capital Federal,178,71,,,,18,blanco,moreno,EQ003003.PKF,648943,original
river-2025-17352,17352,river-2025,River,Paz,José María PAZ,18,True,Defensa,DF,Central izquierdo,78,78,77,80,80,75,62,65,62,64,89,16,1978-07-03,19,Argentina,Argentina,L. Gral. San Martín,180,71,,,,14,blanco,moreno,EQ003003.PKF,651057,original
river-2025-8791,8791,river-2025,River,Hernán Díaz,HERNAN Edgardo DIAZ,4,True,Defensa,DF,Lateral derecho,78,78,73,80,95,65,68,62,63,62,81,14,1965-02-26,33,Argentina,Argentina,Barrancas (Santa Fé),178,70,,,,15,blanco,moreno,EQ003003.PKF,653303,original
river-2025-8793,8793,river-2025,River,Berizzo,Eduardo BERIZZO,6,True,Defensa,DF,Central izquierdo,84,84,81,85,84,88,65,68,67,62,85,16,1969-11-13,28,Argentina,Argentina,Cruz Alta (Córdoba),188,75,,,,5,blanco,castano,EQ003003.PKF,658302,original
river-2025-8797,8797,river-2025,River,Sorín,Juan Pablo SORIN,3,True,Defensa,DF,Lateral izquierdo,82,82,85,83,80,83,63,61,65,69,83,17,1976-05-05,22,Argentina,Argentina,Capital Federal,176,68,,,,3,blanco,moreno,EQ003003.PKF,663260,original
river-2025-8846,8846,river-2025,River,M. Gómez,MARCELO Adrián GÓMEZ,15,True,Medio,MF,Medio centro defensivo,83,83,80,87,87,80,65,84,83,60,60,16,1970-12-08,27,Argentina,Argentina,Capital Federal,185,72,,,,21,blanco,moreno,EQ003003.PKF,668543,original
river-2025-8798,8798,river-2025,River,Gallardo,Marcelo Daniel GALLARDO,10,True,Medio,MF,Media punta por el centro,85,85,82,82,86,90,65,89,87,60,61,18,1976-01-18,22,Argentina,Argentina,Merlo (BA),165,68,,,,10,blanco,moreno,EQ003003.PKF,673646,original
river-2025-8799,8799,river-2025,River,Astrada,Leonardo Rubén ASTRADA,5,True,Medio,MF,Medio centro defensivo,81,81,77,85,89,74,60,89,90,70,63,15,1970-01-06,28,Argentina,Argentina,Capital Federal,185,73,,,,6,blanco,moreno,EQ003003.PKF,679455,original
river-2025-8800,8800,river-2025,River,Escudero,Marcelo Alejandro ESCUDERO,8,True,Medio,MF,Interior derecho,80,80,78,84,82,77,66,86,85,60,62,15,1972-07-25,25,Argentina,Argentina,Punta Alta (BA),184,76,,,,13,blanco,moreno,EQ003003.PKF,684899,original
river-2025-8801,8801,river-2025,River,Gancedo,Leonel Fernando GANCEDO,28,True,Medio,MF,Medio centro organizador,81,81,78,83,80,86,61,86,86,68,65,11,1971-01-28,27,Argentina,Argentina,Capital Federal,188,75,,,,19,blanco,rubio,EQ003003.PKF,688794,original
river-2025-8802,8802,river-2025,River,Berti,Sergio Angel BERTI,11,True,Medio,MF,Centrocampista izquierda,84,84,85,84,88,81,66,85,81,61,60,16,1969-09-17,28,Argentina,Argentina,Empalme Villa Constitución (Sta. Fé),189,77,,,,22,blanco,castano,EQ003003.PKF,692166,original
river-2025-8804,8804,river-2025,River,Solari,Santiago Hernán SOLARI,21,True,Medio,MF,Centrocampista izquierda,81,81,82,85,75,82,69,89,88,67,60,20,1976-10-07,21,Argentina,Argentina,Rosario (SF),185,72,,,,7,blanco,moreno,EQ003003.PKF,698417,original
river-2025-25635,25635,river-2025,River,Saviola,Javier Pedro SAVIOLA,27,True,Delantero,FW,Delantero centro,78,78,80,70,80,85,85,70,70,80,75,5,1982-01-10,16,Argentina,Argentina,Belgrano (BA),,,,,,20,blanco,castano,EQ003003.PKF,702642,original
